/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-FourDoor-v0 --algo dqn --model dqn-partial_obs-2 --frames 1000000 --procs 1 --batch-size 300 --max-memory 1500 --seed 2 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=1500, mem=False, model='dqn-partial_obs-2', optim_alpha=0.99, optim_eps=1e-08, procs=1, recurrence=1, save_interval=100, seed=2, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 3849 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 3156 | E 3156 | F 362979 | FPS 3321 | D 114 | rR:μσmM 7.98 88.73 0.00 1000.00 | pL 6.690
U 3157 | E 3157 | F 363064 | FPS 3007 | D 114 | rR:μσmM 11.84 107.82 0.00 1000.00 | pL 19.973
U 3158 | E 3158 | F 363132 | FPS 2797 | D 114 | rR:μσmM 14.79 120.36 0.00 1000.00 | pL 6.698
U 3159 | E 3159 | F 363187 | FPS 2702 | D 114 | rR:μσmM 18.33 133.59 0.00 1000.00 | pL 6.676
U 3160 | E 3160 | F 363236 | FPS 2527 | D 114 | rR:μσmM 20.53 141.38 0.00 1000.00 | pL 6.799
U 3161 | E 3161 | F 363385 | FPS 3409 | D 114 | rR:μσmM 6.75 81.64 0.00 1000.00 | pL 6.787
U 3162 | E 3162 | F 363448 | FPS 2618 | D 114 | rR:μσmM 15.97 124.97 0.00 1000.00 | pL 10.106
U 3163 | E 3163 | F 363502 | FPS 2727 | D 114 | rR:μσmM 18.63 134.80 0.00 1000.00 | pL 10.098
U 3164 | E 3164 | F 363623 | FPS 3113 | D 114 | rR:μσmM 8.35 90.53 0.00 1000.00 | pL 6.745
U 3165 | E 3165 | F 363692 | FPS 2271 | D 114 | rR:μσmM 14.55 119.50 0.00 1000.00 | pL 10.054
U 3166 | E 3166 | F 363759 | FPS 2350 | D 114 | rR:μσmM 15.01 121.24 0.00 1000.00 | pL 16.686
U 3167 | E 3167 | F 363829 | FPS 2722 | D 114 | rR:μσmM 14.37 118.66 0.00 1000.00 | pL 13.353
U 3168 | E 3168 | F 363911 | FPS 2330 | D 114 | rR:μσmM 12.27 109.75 0.00 1000.00 | pL 6.691
U 3169 | E 3169 | F 363991 | FPS 2482 | D 114 | rR:μσmM 12.57 111.09 0.00 1000.00 | pL 10.026
U 3170 | E 3170 | F 364057 | FPS 2417 | D 114 | rR:μσmM 15.27 122.14 0.00 1000.00 | pL 10.025
U 3171 | E 3171 | F 364135 | FPS 2828 | D 114 | rR:μσmM 12.87 112.49 0.00 1000.00 | pL 16.663
U 3172 | E 3172 | F 364323 | FPS 3534 | D 114 | rR:μσmM 5.36 72.74 0.00 1000.00 | pL 6.693
U 3173 | E 3173 | F 364379 | FPS 2597 | D 114 | rR:μσmM 17.96 132.42 0.00 1000.00 | pL 6.698
U 3174 | E 3174 | F 364439 | FPS 2721 | D 114 | rR:μσmM 16.73 128.01 0.00 1000.00 | pL 10.023
U 3175 | E 3175 | F 364475 | FPS 2132 | D 114 | rR:μσmM 27.89 164.32 0.00 1000.00 | pL 16.670
U 3176 | E 3176 | F 364549 | FPS 2759 | D 114 | rR:μσmM 13.62 115.45 0.00 1000.00 | pL 10.008
U 3177 | E 3177 | F 364699 | FPS 3327 | D 114 | rR:μσmM 6.71 81.37 0.00 1000.00 | pL 23.304
U 3178 | E 3178 | F 364797 | FPS 3192 | D 114 | rR:μσmM 10.24 100.49 0.00 1000.00 | pL 10.016
U 3179 | E 3179 | F 364894 | FPS 3115 | D 114 | rR:μσmM 10.39 101.00 0.00 1000.00 | pL 19.982
U 3180 | E 3180 | F 364994 | FPS 3130 | D 114 | rR:μσmM 10.06 99.49 0.00 1000.00 | pL 6.771
U 3181 | E 3181 | F 365082 | FPS 2528 | D 114 | rR:μσmM 11.43 105.99 0.00 1000.00 | pL 6.746
U 3182 | E 3182 | F 365164 | FPS 2777 | D 115 | rR:μσmM 12.27 109.75 0.00 1000.00 | pL 6.737
U 3183 | E 3183 | F 365282 | FPS 3287 | D 115 | rR:μσmM 8.53 91.66 0.00 1000.00 | pL 10.053
U 3184 | E 3184 | F 365324 | FPS 2485 | D 115 | rR:μσmM 23.90 152.44 0.00 1000.00 | pL 10.023
U 3185 | E 3185 | F 365402 | FPS 3047 | D 115 | rR:μσmM 12.90 112.49 0.00 1000.00 | pL 13.336
U 3186 | E 3186 | F 365460 | FPS 2811 | D 115 | rR:μσmM 17.31 130.16 0.00 1000.00 | pL 16.678
U 3187 | E 3187 | F 365541 | FPS 2952 | D 115 | rR:μσmM 12.42 110.42 0.00 1000.00 | pL 10.011
U 3188 | E 3188 | F 365624 | FPS 3067 | D 115 | rR:μσmM 12.12 109.09 0.00 1000.00 | pL 10.013
U 3189 | E 3189 | F 365700 | FPS 2910 | D 115 | rR:μσmM 13.24 113.94 0.00 1000.00 | pL 0.044
U 3190 | E 3190 | F 365772 | FPS 2864 | D 115 | rR:μσmM 13.97 117.02 0.00 1000.00 | pL 10.007
U 3191 | E 3191 | F 365840 | FPS 2609 | D 115 | rR:μσmM 14.85 120.36 0.00 1000.00 | pL 16.670
U 3192 | E 3192 | F 365963 | FPS 3351 | D 115 | rR:μσmM 8.18 89.80 0.00 1000.00 | pL 16.661
U 3193 | E 3193 | F 366078 | FPS 3437 | D 115 | rR:μσmM 8.75 92.84 0.00 1000.00 | pL 0.040
U 3194 | E 3194 | F 366188 | FPS 3193 | D 115 | rR:μσmM 9.18 94.90 0.00 1000.00 | pL 13.332
U 3195 | E 3195 | F 366272 | FPS 2942 | D 115 | rR:μσmM 12.00 108.45 0.00 1000.00 | pL 13.360
U 3196 | E 3196 | F 366357 | FPS 3001 | D 115 | rR:μσmM 11.84 107.82 0.00 1000.00 | pL 6.698
U 3197 | E 3197 | F 366479 | FPS 3275 | D 115 | rR:μσmM 8.25 90.16 0.00 1000.00 | pL 6.688
U 3198 | E 3198 | F 366524 | FPS 2296 | D 115 | rR:μσmM 22.36 147.39 0.00 1000.00 | pL 0.035
U 3199 | E 3199 | F 366618 | FPS 3210 | D 115 | rR:μσmM 10.70 102.59 0.00 1000.00 | pL 10.005
U 3200 | E 3200 | F 366698 | FPS 3013 | D 115 | rR:μσmM 12.57 111.09 0.00 1000.00 | pL 6.768
Status saved
U 3201 | E 3201 | F 366774 | FPS 2964 | D 115 | rR:μσmM 13.21 113.95 0.00 1000.00 | pL 23.378
U 3202 | E 3202 | F 366823 | FPS 2409 | D 115 | rR:μσmM 20.53 141.38 0.00 1000.00 | pL 6.763
U 3203 | E 3203 | F 366933 | FPS 3176 | D 115 | rR:μσmM 9.15 94.91 0.00 1000.00 | pL 10.076
U 3204 | E 3204 | F 367017 | FPS 2976 | D 115 | rR:μσmM 12.00 108.45 0.00 1000.00 | pL 6.721
U 3205 | E 3205 | F 367136 | FPS 3309 | D 115 | rR:μσmM 8.45 91.28 0.00 1000.00 | pL 16.700
U 3206 | E 3206 | F 367296 | FPS 3696 | D 115 | rR:μσmM 6.29 78.81 0.00 1000.00 | pL 10.039
U 3207 | E 3207 | F 367349 | FPS 2620 | D 115 | rR:μσmM 18.98 136.04 0.00 1000.00 | pL 16.678
U 3208 | E 3208 | F 367539 | FPS 3643 | D 115 | rR:μσmM 5.31 72.35 0.00 1000.00 | pL 13.356
U 3209 | E 3209 | F 367609 | FPS 2949 | D 115 | rR:μσmM 14.37 118.66 0.00 1000.00 | pL 6.714
U 3210 | E 3210 | F 367784 | FPS 3458 | D 115 | rR:μσmM 5.75 75.37 0.00 1000.00 | pL 13.339
U 3211 | E 3211 | F 367853 | FPS 2828 | D 115 | rR:μσmM 14.58 119.50 0.00 1000.00 | pL 10.017
U 3212 | E 3212 | F 367919 | FPS 2798 | D 115 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 13.337
U 3213 | E 3213 | F 368078 | FPS 3596 | D 115 | rR:μσmM 6.33 79.05 0.00 1000.00 | pL 3.377
U 3214 | E 3214 | F 368161 | FPS 3066 | D 116 | rR:μσmM 12.12 109.09 0.00 1000.00 | pL 6.693
U 3215 | E 3215 | F 368269 | FPS 3083 | D 116 | rR:μσmM 9.33 95.77 0.00 1000.00 | pL 10.014
U 3216 | E 3216 | F 368349 | FPS 3070 | D 116 | rR:μσmM 12.57 111.09 0.00 1000.00 | pL 10.019
U 3217 | E 3217 | F 368475 | FPS 3341 | D 116 | rR:μσmM 7.98 88.73 0.00 1000.00 | pL 13.346
U 3218 | E 3218 | F 368551 | FPS 3033 | D 116 | rR:μσmM 13.24 113.94 0.00 1000.00 | pL 3.357
U 3219 | E 3219 | F 368608 | FPS 2696 | D 116 | rR:μσmM 17.61 131.28 0.00 1000.00 | pL 6.689
U 3220 | E 3220 | F 368698 | FPS 3072 | D 116 | rR:μσmM 11.18 104.82 0.00 1000.00 | pL 16.733
U 3221 | E 3221 | F 368902 | FPS 3556 | D 116 | rR:μσmM 4.95 69.84 0.00 1000.00 | pL 20.054
U 3222 | E 3222 | F 368957 | FPS 2722 | D 116 | rR:μσmM 18.25 133.60 0.00 1000.00 | pL 10.057
U 3223 | E 3223 | F 369138 | FPS 3466 | D 116 | rR:μσmM 5.57 74.12 0.00 1000.00 | pL 13.362
U 3224 | E 3224 | F 369278 | FPS 3423 | D 116 | rR:μσmM 7.19 84.21 0.00 1000.00 | pL 13.367
U 3225 | E 3225 | F 369344 | FPS 2641 | D 116 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 13.364
U 3226 | E 3226 | F 369453 | FPS 3258 | D 116 | rR:μσmM 9.23 95.34 0.00 1000.00 | pL 13.378
U 3227 | E 3227 | F 369534 | FPS 2893 | D 116 | rR:μσmM 12.42 110.42 0.00 1000.00 | pL 6.735
U 3228 | E 3228 | F 369615 | FPS 3080 | D 116 | rR:μσmM 12.42 110.42 0.00 1000.00 | pL 13.399
U 3229 | E 3229 | F 369813 | FPS 3492 | D 116 | rR:μσmM 5.09 70.88 0.00 1000.00 | pL 13.454
U 3230 | E 3230 | F 369857 | FPS 2326 | D 116 | rR:μσmM 22.86 149.01 0.00 1000.00 | pL 6.817
U 3231 | E 3231 | F 369903 | FPS 2442 | D 116 | rR:μσmM 21.87 145.81 0.00 1000.00 | pL 6.809
U 3232 | E 3232 | F 370023 | FPS 3198 | D 116 | rR:μσmM 8.40 90.90 0.00 1000.00 | pL 6.807
U 3233 | E 3233 | F 370101 | FPS 3010 | D 116 | rR:μσmM 12.90 112.49 0.00 1000.00 | pL 0.172
U 3234 | E 3234 | F 370234 | FPS 3315 | D 116 | rR:μσmM 7.56 86.38 0.00 1000.00 | pL 6.782
U 3235 | E 3235 | F 370274 | FPS 2290 | D 116 | rR:μσmM 25.15 156.10 0.00 1000.00 | pL 6.748
U 3236 | E 3236 | F 370435 | FPS 3497 | D 116 | rR:μσmM 6.25 78.56 0.00 1000.00 | pL 13.367
U 3237 | E 3237 | F 370574 | FPS 3236 | D 116 | rR:μσmM 7.24 84.51 0.00 1000.00 | pL 10.025
U 3238 | E 3238 | F 370638 | FPS 3004 | D 116 | rR:μσmM 15.69 124.01 0.00 1000.00 | pL 3.355
U 3239 | E 3239 | F 370753 | FPS 3100 | D 116 | rR:μσmM 8.75 92.84 0.00 1000.00 | pL 16.649
U 3240 | E 3240 | F 370833 | FPS 2761 | D 116 | rR:μσmM 12.57 111.09 0.00 1000.00 | pL 6.783
U 3241 | E 3241 | F 370867 | FPS 2069 | D 116 | rR:μσmM 29.53 168.94 0.00 1000.00 | pL 13.378
U 3242 | E 3242 | F 370975 | FPS 2965 | D 116 | rR:μσmM 9.31 95.77 0.00 1000.00 | pL 13.358
U 3243 | E 3243 | F 371025 | FPS 2010 | D 116 | rR:μσmM 20.12 139.98 0.00 1000.00 | pL 6.719
U 3244 | E 3244 | F 371141 | FPS 2628 | D 116 | rR:μσmM 8.69 92.44 0.00 1000.00 | pL 20.018
U 3245 | E 3245 | F 371177 | FPS 1803 | D 117 | rR:μσmM 27.94 164.31 0.00 1000.00 | pL 3.380
U 3246 | E 3246 | F 371291 | FPS 2806 | D 117 | rR:μσmM 8.84 93.24 0.00 1000.00 | pL 19.986
U 3247 | E 3247 | F 371389 | FPS 3123 | D 117 | rR:μσmM 10.27 100.49 0.00 1000.00 | pL 3.367
U 3248 | E 3248 | F 371448 | FPS 2596 | D 117 | rR:μσmM 17.05 129.07 0.00 1000.00 | pL 10.015
U 3249 | E 3249 | F 371512 | FPS 2797 | D 117 | rR:μσmM 15.72 124.01 0.00 1000.00 | pL 13.363
U 3250 | E 3250 | F 371586 | FPS 2954 | D 117 | rR:μσmM 13.57 115.45 0.00 1000.00 | pL 10.019
U 3251 | E 3251 | F 371677 | FPS 3146 | D 117 | rR:μσmM 11.05 104.24 0.00 1000.00 | pL 13.337
U 3252 | E 3252 | F 371824 | FPS 3362 | D 117 | rR:μσmM 6.86 82.19 0.00 1000.00 | pL 6.693
U 3253 | E 3253 | F 371993 | FPS 3309 | D 117 | rR:μσmM 5.98 76.69 0.00 1000.00 | pL 3.380
U 3254 | E 3254 | F 372122 | FPS 3397 | D 117 | rR:μσmM 7.83 87.70 0.00 1000.00 | pL 3.377
U 3255 | E 3255 | F 372147 | FPS 1761 | D 117 | rR:μσmM 40.24 195.91 0.00 1000.00 | pL 10.029
U 3256 | E 3256 | F 372188 | FPS 2239 | D 117 | rR:μσmM 24.54 154.24 0.00 1000.00 | pL 6.704
U 3257 | E 3257 | F 372230 | FPS 2282 | D 117 | rR:μσmM 23.95 152.43 0.00 1000.00 | pL 16.664
U 3258 | E 3258 | F 372281 | FPS 2581 | D 117 | rR:μσmM 19.73 138.63 0.00 1000.00 | pL 13.330
U 3259 | E 3259 | F 372411 | FPS 3268 | D 117 | rR:μσmM 7.75 87.36 0.00 1000.00 | pL 13.337
U 3260 | E 3260 | F 372511 | FPS 3126 | D 117 | rR:μσmM 10.08 99.49 0.00 1000.00 | pL 0.176
U 3261 | E 3261 | F 372587 | FPS 2906 | D 117 | rR:μσmM 13.21 113.95 0.00 1000.00 | pL 16.748
U 3262 | E 3262 | F 372707 | FPS 2685 | D 117 | rR:μσmM 8.38 90.90 0.00 1000.00 | pL 13.374
U 3263 | E 3263 | F 372738 | FPS 1766 | D 117 | rR:μσmM 32.39 176.66 0.00 1000.00 | pL 16.681
U 3264 | E 3264 | F 372785 | FPS 2329 | D 117 | rR:μσmM 21.40 144.29 0.00 1000.00 | pL 13.362
U 3265 | E 3265 | F 372858 | FPS 2924 | D 117 | rR:μσmM 13.78 116.23 0.00 1000.00 | pL 10.026
U 3266 | E 3266 | F 372913 | FPS 2550 | D 117 | rR:μσmM 18.25 133.60 0.00 1000.00 | pL 13.358
U 3267 | E 3267 | F 373052 | FPS 3434 | D 117 | rR:μσmM 7.24 84.51 0.00 1000.00 | pL 16.659
U 3268 | E 3268 | F 373096 | FPS 2364 | D 117 | rR:μσmM 22.82 149.02 0.00 1000.00 | pL 13.340
U 3269 | E 3269 | F 373193 | FPS 3036 | D 117 | rR:μσmM 10.39 101.00 0.00 1000.00 | pL 6.691
U 3270 | E 3270 | F 373281 | FPS 3098 | D 117 | rR:μσmM 11.43 105.99 0.00 1000.00 | pL 13.343
U 3271 | E 3271 | F 373347 | FPS 2919 | D 117 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 13.348
U 3272 | E 3272 | F 373375 | FPS 2057 | D 117 | rR:μσmM 35.93 185.54 0.00 1000.00 | pL 13.337
U 3273 | E 3273 | F 373417 | FPS 2296 | D 117 | rR:μσmM 23.95 152.43 0.00 1000.00 | pL 26.616
U 3274 | E 3274 | F 373448 | FPS 1843 | D 117 | rR:μσmM 32.45 176.65 0.00 1000.00 | pL 10.008
U 3275 | E 3275 | F 373490 | FPS 2456 | D 117 | rR:μσmM 23.90 152.44 0.00 1000.00 | pL 10.008
U 3276 | E 3276 | F 373589 | FPS 3195 | D 117 | rR:μσmM 10.14 99.99 0.00 1000.00 | pL 16.643
U 3277 | E 3277 | F 373625 | FPS 2188 | D 117 | rR:μσmM 27.94 164.31 0.00 1000.00 | pL 16.650
U 3278 | E 3278 | F 373799 | FPS 3475 | D 117 | rR:μσmM 5.77 75.59 0.00 1000.00 | pL 9.991
U 3279 | E 3279 | F 373897 | FPS 3078 | D 117 | rR:μσmM 10.27 100.49 0.00 1000.00 | pL 23.287
U 3280 | E 3280 | F 374006 | FPS 3315 | D 118 | rR:μσmM 9.21 95.34 0.00 1000.00 | pL 16.746
U 3281 | E 3281 | F 374093 | FPS 3213 | D 118 | rR:μσmM 11.54 106.59 0.00 1000.00 | pL 13.409
U 3282 | E 3282 | F 374186 | FPS 3107 | D 118 | rR:μσmM 10.82 103.13 0.00 1000.00 | pL 10.040
U 3283 | E 3283 | F 374298 | FPS 3093 | D 118 | rR:μσmM 9.00 94.06 0.00 1000.00 | pL 16.672
U 3284 | E 3284 | F 374571 | FPS 3829 | D 118 | rR:μσmM 3.70 60.41 0.00 1000.00 | pL 13.341
U 3285 | E 3285 | F 374657 | FPS 3192 | D 118 | rR:μσmM 11.67 107.20 0.00 1000.00 | pL 10.019
U 3286 | E 3286 | F 374713 | FPS 2746 | D 118 | rR:μσmM 17.96 132.42 0.00 1000.00 | pL 10.011
U 3287 | E 3287 | F 374825 | FPS 3283 | D 118 | rR:μσmM 8.98 94.06 0.00 1000.00 | pL 10.014
U 3288 | E 3288 | F 374850 | FPS 1937 | D 118 | rR:μσmM 40.16 195.93 0.00 1000.00 | pL 10.011
U 3289 | E 3289 | F 374961 | FPS 3140 | D 118 | rR:μσmM 9.06 94.48 0.00 1000.00 | pL 13.321
U 3290 | E 3290 | F 375006 | FPS 2410 | D 118 | rR:μσmM 22.36 147.39 0.00 1000.00 | pL 10.008
U 3291 | E 3291 | F 375128 | FPS 3560 | D 118 | rR:μσmM 8.23 90.16 0.00 1000.00 | pL 10.014
U 3292 | E 3292 | F 375190 | FPS 2713 | D 118 | rR:μσmM 16.23 125.96 0.00 1000.00 | pL 6.684
U 3293 | E 3293 | F 375228 | FPS 2255 | D 118 | rR:μσmM 26.42 160.06 0.00 1000.00 | pL 3.385
U 3294 | E 3294 | F 375440 | FPS 3557 | D 118 | rR:μσmM 4.75 68.52 0.00 1000.00 | pL 10.008
U 3295 | E 3295 | F 375596 | FPS 3477 | D 118 | rR:μσmM 6.45 79.80 0.00 1000.00 | pL 10.013
U 3296 | E 3296 | F 375681 | FPS 2930 | D 118 | rR:μσmM 11.84 107.82 0.00 1000.00 | pL 6.701
U 3297 | E 3297 | F 375782 | FPS 3264 | D 118 | rR:μσmM 9.98 99.00 0.00 1000.00 | pL 6.707
U 3298 | E 3298 | F 375850 | FPS 2793 | D 118 | rR:μσmM 14.79 120.36 0.00 1000.00 | pL 3.384
U 3299 | E 3299 | F 375919 | FPS 2966 | D 118 | rR:μσmM 14.58 119.50 0.00 1000.00 | pL 13.337
U 3300 | E 3300 | F 376032 | FPS 3141 | D 118 | rR:μσmM 8.90 93.65 0.00 1000.00 | pL 6.770
Status saved
U 3301 | E 3301 | F 376142 | FPS 3260 | D 118 | rR:μσmM 9.15 94.91 0.00 1000.00 | pL 10.073
U 3302 | E 3302 | F 376176 | FPS 2170 | D 118 | rR:μσmM 29.59 168.93 0.00 1000.00 | pL 10.045
U 3303 | E 3303 | F 376267 | FPS 3086 | D 118 | rR:μσmM 11.08 104.24 0.00 1000.00 | pL 13.357
U 3304 | E 3304 | F 376343 | FPS 2956 | D 118 | rR:μσmM 13.24 113.94 0.00 1000.00 | pL 16.687
U 3305 | E 3305 | F 376409 | FPS 2630 | D 118 | rR:μσmM 15.27 122.14 0.00 1000.00 | pL 19.994
U 3306 | E 3306 | F 376503 | FPS 3090 | D 118 | rR:μσmM 10.70 102.59 0.00 1000.00 | pL 6.707
U 3307 | E 3307 | F 376540 | FPS 2387 | D 118 | rR:μσmM 27.14 162.14 0.00 1000.00 | pL 10.028
U 3308 | E 3308 | F 376586 | FPS 2698 | D 118 | rR:μσmM 21.83 145.82 0.00 1000.00 | pL 13.334
U 3309 | E 3309 | F 376644 | FPS 2600 | D 118 | rR:μσmM 17.34 130.16 0.00 1000.00 | pL 13.337
U 3310 | E 3310 | F 376710 | FPS 2747 | D 118 | rR:μσmM 15.21 122.15 0.00 1000.00 | pL 6.696
U 3311 | E 3311 | F 376749 | FPS 2198 | D 118 | rR:μσmM 25.79 158.04 0.00 1000.00 | pL 16.665
U 3312 | E 3312 | F 376816 | FPS 2623 | D 118 | rR:μσmM 15.01 121.24 0.00 1000.00 | pL 6.706
U 3313 | E 3313 | F 376912 | FPS 3024 | D 118 | rR:μσmM 10.48 101.52 0.00 1000.00 | pL 6.692
U 3314 | E 3314 | F 377005 | FPS 3096 | D 119 | rR:μσmM 10.82 103.13 0.00 1000.00 | pL 6.693
U 3315 | E 3315 | F 377196 | FPS 3503 | D 119 | rR:μσmM 5.28 72.17 0.00 1000.00 | pL 16.660
U 3316 | E 3316 | F 377242 | FPS 2314 | D 119 | rR:μσmM 21.83 145.82 0.00 1000.00 | pL 10.005
U 3317 | E 3317 | F 377269 | FPS 1731 | D 119 | rR:μσmM 37.26 188.81 0.00 1000.00 | pL 10.000
U 3318 | E 3318 | F 377330 | FPS 2636 | D 119 | rR:μσmM 16.46 126.98 0.00 1000.00 | pL 19.982
U 3319 | E 3319 | F 377409 | FPS 2959 | D 119 | rR:μσmM 12.73 111.79 0.00 1000.00 | pL 3.349
U 3320 | E 3320 | F 377488 | FPS 2944 | D 119 | rR:μσmM 12.73 111.79 0.00 1000.00 | pL 3.451
U 3321 | E 3321 | F 377527 | FPS 2376 | D 119 | rR:μσmM 25.79 158.04 0.00 1000.00 | pL 23.375
U 3322 | E 3322 | F 377586 | FPS 2670 | D 119 | rR:μσmM 17.12 129.06 0.00 1000.00 | pL 16.706
U 3323 | E 3323 | F 377653 | FPS 2754 | D 119 | rR:μσmM 15.01 121.24 0.00 1000.00 | pL 16.709
U 3324 | E 3324 | F 377731 | FPS 3152 | D 119 | rR:μσmM 12.87 112.49 0.00 1000.00 | pL 16.681
U 3325 | E 3325 | F 377860 | FPS 3518 | D 119 | rR:μσmM 7.81 87.70 0.00 1000.00 | pL 13.341
U 3326 | E 3326 | F 378049 | FPS 3422 | D 119 | rR:μσmM 5.32 72.54 0.00 1000.00 | pL 23.301
U 3327 | E 3327 | F 378169 | FPS 3608 | D 119 | rR:μσmM 8.37 90.90 0.00 1000.00 | pL 10.018
U 3328 | E 3328 | F 378315 | FPS 3327 | D 119 | rR:μσmM 6.89 82.47 0.00 1000.00 | pL 19.982
U 3329 | E 3329 | F 378365 | FPS 2501 | D 119 | rR:μσmM 20.12 139.98 0.00 1000.00 | pL 10.013
U 3330 | E 3330 | F 378487 | FPS 3114 | D 119 | rR:μσmM 8.28 90.16 0.00 1000.00 | pL 6.695
U 3331 | E 3331 | F 378540 | FPS 2500 | D 119 | rR:μσmM 18.98 136.04 0.00 1000.00 | pL 13.322
U 3332 | E 3332 | F 378645 | FPS 3256 | D 119 | rR:μσmM 9.58 97.12 0.00 1000.00 | pL 13.330
U 3333 | E 3333 | F 378737 | FPS 3175 | D 119 | rR:μσmM 10.93 103.68 0.00 1000.00 | pL 3.370
U 3334 | E 3334 | F 378778 | FPS 2345 | D 119 | rR:μσmM 24.49 154.24 0.00 1000.00 | pL 9.996
U 3335 | E 3335 | F 378869 | FPS 3009 | D 119 | rR:μσmM 11.05 104.24 0.00 1000.00 | pL 6.680
U 3336 | E 3336 | F 378955 | FPS 2924 | D 119 | rR:μσmM 11.67 107.20 0.00 1000.00 | pL 6.680
U 3337 | E 3337 | F 379063 | FPS 3204 | D 119 | rR:μσmM 9.35 95.77 0.00 1000.00 | pL 16.654
U 3338 | E 3338 | F 379189 | FPS 3316 | D 119 | rR:μσmM 7.98 88.73 0.00 1000.00 | pL 10.000
U 3339 | E 3339 | F 379235 | FPS 2499 | D 119 | rR:μσmM 21.83 145.82 0.00 1000.00 | pL 0.027
U 3340 | E 3340 | F 379334 | FPS 3239 | D 119 | rR:μσmM 10.16 99.99 0.00 1000.00 | pL 6.752
U 3341 | E 3341 | F 379371 | FPS 2075 | D 119 | rR:μσmM 27.19 162.14 0.00 1000.00 | pL 10.073
U 3342 | E 3342 | F 379516 | FPS 3594 | D 119 | rR:μσmM 6.94 82.76 0.00 1000.00 | pL 13.391
U 3343 | E 3343 | F 379578 | FPS 2600 | D 119 | rR:μσmM 16.19 125.96 0.00 1000.00 | pL 3.411
U 3344 | E 3344 | F 379639 | FPS 2609 | D 119 | rR:μσmM 16.49 126.97 0.00 1000.00 | pL 3.376
U 3345 | E 3345 | F 379757 | FPS 3335 | D 119 | rR:μσmM 8.53 91.66 0.00 1000.00 | pL 13.363
U 3346 | E 3346 | F 379899 | FPS 3323 | D 119 | rR:μσmM 7.10 83.62 0.00 1000.00 | pL 13.353
U 3347 | E 3347 | F 380140 | FPS 3656 | D 120 | rR:μσmM 4.19 64.28 0.00 1000.00 | pL 10.043
U 3348 | E 3348 | F 380171 | FPS 1917 | D 120 | rR:μσmM 32.45 176.65 0.00 1000.00 | pL 6.721
U 3349 | E 3349 | F 380202 | FPS 1995 | D 120 | rR:μσmM 32.39 176.66 0.00 1000.00 | pL 13.352
U 3350 | E 3350 | F 380233 | FPS 1940 | D 120 | rR:μσmM 32.45 176.65 0.00 1000.00 | pL 10.018
U 3351 | E 3351 | F 380324 | FPS 3209 | D 120 | rR:μσmM 11.03 104.25 0.00 1000.00 | pL 13.346
U 3352 | E 3352 | F 380399 | FPS 2924 | D 120 | rR:μσmM 13.39 114.69 0.00 1000.00 | pL 16.668
U 3353 | E 3353 | F 380500 | FPS 3100 | D 120 | rR:μσmM 9.98 99.00 0.00 1000.00 | pL 10.033
U 3354 | E 3354 | F 380604 | FPS 3453 | D 120 | rR:μσmM 9.67 97.58 0.00 1000.00 | pL 13.344
U 3355 | E 3355 | F 380728 | FPS 3290 | D 120 | rR:μσmM 8.11 89.44 0.00 1000.00 | pL 10.015
U 3356 | E 3356 | F 380813 | FPS 3048 | D 120 | rR:μσmM 11.84 107.82 0.00 1000.00 | pL 13.347
U 3357 | E 3357 | F 380980 | FPS 3547 | D 120 | rR:μσmM 6.02 77.15 0.00 1000.00 | pL 10.017
U 3358 | E 3358 | F 381068 | FPS 2866 | D 120 | rR:μσmM 11.43 105.99 0.00 1000.00 | pL 16.657
U 3359 | E 3359 | F 381257 | FPS 3656 | D 120 | rR:μσmM 5.33 72.54 0.00 1000.00 | pL 6.690
U 3360 | E 3360 | F 381319 | FPS 2711 | D 120 | rR:μσmM 16.23 125.96 0.00 1000.00 | pL 10.121
